codmunicipio,valor,beneficiarios,ano,mes
1101708,2124000,3142,2020,4
1101708,2586600,3727,2020,5
1101708,1652400,2413,2020,6
1101708,2655000,3954,2020,7
1101708,2341200,3485,2020,8
1101708,2164992,4070,2020,9
1101708,1408967,3696,2020,10
1101708,1805865,3849,2020,11
1101708,1672547,3805,2020,12
1101708,26400,26,2021,1
1101757,1688400,2520,2020,4
1101757,1976400,2894,2020,5
1101757,1279800,1881,2020,6
1101757,2030400,3045,2020,7
1101757,1826400,2733,2020,8
1101757,1598163,3110,2020,9
1101757,1060642,2874,2020,10
1101757,1359806,2991,2020,11
1101757,1260376,2960,2020,12
1101757,8700,8,2021,1
1101807,1426200,2161,2020,4
1101807,1642200,2444,2020,5
1101807,1068000,1597,2020,6
1101807,1701600,2584,2020,7
1101807,1500600,2270,2020,8
1101807,1323335,2604,2020,9
1101807,861620,2407,2020,10
1101807,1126781,2513,2020,11
1101807,1020388,2467,2020,12
1101807,5400,5,2021,1
1100304,14095800,19564,2020,4
1100304,17727000,24287,2020,5
1100304,9361800,12809,2020,6
1100304,18276000,25676,2020,7
1100304,15834600,22143,2020,8
1100304,16572234,26195,2020,9
1100304,10124937,22783,2020,10
1100304,13326244,23867,2020,11
1100304,12388842,23078,2020,12
1100304,172200,154,2021,1
1200013,3348000,4898,2020,4
1200013,3734400,5379,2020,5
1200013,2653800,3812,2020,6
1200013,3771600,5535,2020,7
1200013,3480000,5077,2020,8
1200013,2430863,5317,2020,9
1200013,1639154,4921,2020,10
1200013,2071504,5118,2020,11
1200013,1959354,5037,2020,12
1200013,10200,9,2021,1
1200054,2840400,4271,2020,4
1200054,3262800,4769,2020,5
1200054,2321400,3469,2020,6
1200054,3357000,5036,2020,7
1200054,3059400,4576,2020,8
1200054,2166883,4616,2020,9
1200054,1408171,4285,2020,10
1200054,1840623,4446,2020,11
1200054,1658984,4340,2020,12
1200054,13800,14,2021,1
1200104,6797400,9885,2020,4
1200104,7836600,11192,2020,5
1200104,5499000,7902,2020,6
1200104,8044200,11699,2020,7
1200104,7317600,10577,2020,8
1200104,5571805,11542,2020,9
1200104,3763444,10719,2020,10
1200104,4735589,11099,2020,11
1200104,4345867,10793,2020,12
1200104,27900,22,2021,1
1200138,2800800,3894,2020,4
1200138,3147000,4363,2020,5
1200138,2322000,3179,2020,6
1200138,3249000,4551,2020,7
1200138,2967000,4115,2020,8
1200138,2114382,4318,2020,9
1200138,1433165,3995,2020,10
1200138,1823386,4158,2020,11
1200138,1675728,4089,2020,12
1200138,21000,14,2021,1
1200179,2769000,3976,2020,4
1200179,2981400,4254,2020,5
1200179,2188200,3078,2020,6
1200179,3028200,4361,2020,7
1200179,2745600,3926,2020,8
1200179,1839783,4058,2020,9
1200179,1229488,3789,2020,10
1200179,1562837,3921,2020,11
1200179,1454529,3850,2020,12
1200179,10800,11,2021,1
1200203,20124000,28779,2020,4
1200203,22085400,31390,2020,5
1200203,16577400,23372,2020,6
1200203,22526400,32354,2020,7
1200203,21030600,29880,2020,8
1200203,12791317,28784,2020,9
1200203,8402234,26624,2020,10
1200203,10648221,27567,2020,11
1200203,9921704,26890,2020,12
1200203,96300,90,2021,1
1200252,4135800,5802,2020,4
1200252,4785600,6679,2020,5
1200252,3445800,4754,2020,6
1200252,4954200,7046,2020,7
1200252,4587000,6464,2020,8
1200252,3566409,7091,2020,9
1200252,2443495,6558,2020,10
1200252,3140396,6913,2020,11
1200252,2819470,6791,2020,12
1200252,15600,18,2021,1
1200302,7620600,11314,2020,4
1200302,8134800,11985,2020,5
1200302,6775800,9988,2020,6
1200302,8322000,12345,2020,7
1200302,7845600,11648,2020,8
1200302,3979645,11056,2020,9
1200302,2869267,10526,2020,10
1200302,3490976,10751,2020,11
1200302,3192344,10591,2020,12
1200302,20400,19,2021,1
1200328,1978200,2997,2020,4
1200328,2116200,3166,2020,5
1200328,1780800,2687,2020,6
1200328,2049000,3099,2020,7
1200328,1908000,2894,2020,8
1200328,730062,2273,2020,9
1200328,512502,2154,2020,10
1200328,645802,2211,2020,11
1200328,584523,2205,2020,12
1200328,1200,1,2021,1
1200336,4624200,7014,2020,4
1200336,4864800,7307,2020,5
1200336,4143000,6243,2020,6
1200336,4947600,7480,2020,7
1200336,4753800,7153,2020,8
1200336,2055754,6368,2020,9
1200336,1443581,6085,2020,10
1200336,1756439,6203,2020,11
1200336,1548049,5645,2020,12
1200336,12600,10,2021,1
1200344,2774400,4159,2020,4
1200344,2937600,4367,2020,5
1200344,2367600,3514,2020,6
1200344,2964000,4430,2020,7
1200344,2751600,4108,2020,8
1200344,1309951,3629,2020,9
1200344,868729,3410,2020,10
1200344,1099206,3478,2020,11
1200344,1025653,3441,2020,12
1200344,9300,6,2021,1
1200351,3992400,6090,2020,4
1200351,4128000,6272,2020,5
1200351,3504600,5335,2020,6
1200351,4116600,6269,2020,7
1200351,3861600,5896,2020,8
1200351,1644212,5190,2020,9
1200351,1162898,4988,2020,10
1200351,1430645,5089,2020,11
1200351,1353415,5024,2020,12
1200351,3000,3,2021,1
1200385,3400800,4856,2020,4
1200385,3843600,5455,2020,5
1200385,2775600,3891,2020,6
1200385,3964200,5707,2020,7
1200385,3637800,5186,2020,8
1200385,2777263,5682,2020,9
1200385,1919560,5308,2020,10
1200385,2419552,5508,2020,11
1200385,2167585,5354,2020,12
1200385,23700,22,2021,1
1200807,4827600,6864,2020,4
1200807,5187000,7356,2020,5
1200807,3931800,5479,2020,6
1200807,5280000,7534,2020,7
1200807,4849800,6859,2020,8
1200807,2984623,6898,2020,9
1200807,2018785,6440,2020,10
1200807,2530471,6649,2020,11
1200807,2354251,6538,2020,12
1200807,4500,5,2021,1
1200393,2253600,3482,2020,4
1200393,2350800,3606,2020,5
1200393,1964400,3024,2020,6
1200393,2368200,3647,2020,7
1200393,2235600,3440,2020,8
1200393,970483,3003,2020,9
1200393,657465,2820,2020,10
1200393,801063,2855,2020,11
1200393,745114,2814,2020,12
1200393,2700,4,2021,1
1200401,70218000,96068,2020,4
1200401,85278000,117385,2020,5
1200401,55214400,74155,2020,6
1200401,88047600,122906,2020,7
1200401,78895800,108983,2020,8
1200401,68304096,121758,2020,9
1200401,45029075,110121,2020,10
1200401,57472456,115399,2020,11
1200401,51835639,112140,2020,12
1200401,778800,660,2021,1
1200427,3493200,5375,2020,4
1200427,3624000,5531,2020,5
1200427,3130200,4781,2020,6
1200427,3713400,5668,2020,7
1200427,3593400,5449,2020,8
1200427,1540872,4878,2020,9
1200427,1113468,4655,2020,10
1200427,1314983,4736,2020,11
1200427,1173639,4448,2020,12
1200427,600,1,2021,1
1200435,1455000,2129,2020,4
1200435,1506600,2179,2020,5
1200435,1360800,1976,2020,6
1200435,1477200,2160,2020,7
1200435,1416000,2062,2020,8
1200435,419474,1459,2020,9
1200435,296374,1384,2020,10
1200435,355065,1408,2020,11
1200435,327813,1402,2020,12
1200435,1800,3,2021,1
1200500,11079600,16183,2020,4
1200500,11741400,17053,2020,5
1200500,9592200,13865,2020,6
1200500,11869200,17367,2020,7
1200500,11053200,16145,2020,8
1200500,5501879,15063,2020,9
1200500,3824411,14229,2020,10
1200500,4707685,14522,2020,11
1200500,4339400,14053,2020,12
1200500,36300,38,2021,1
1200450,6402600,8169,2020,4
1200450,6867600,8768,2020,5
1200450,5374800,6656,2020,6
1200450,6883200,8898,2020,7
1200450,6382800,8161,2020,8
1200450,3539031,7962,2020,9
1200450,2428110,7440,2020,10
1200450,3005543,7654,2020,11
1200450,2863821,7553,2020,12
1200450,14700,14,2021,1
1200609,10535400,15039,2020,4
1200609,10991400,15626,2020,5
1200609,9408600,13306,2020,6
1200609,11136000,15893,2020,7
1200609,10579800,15103,2020,8
1200609,4161085,12688,2020,9
1200609,2921486,12048,2020,10
1200609,3542321,12255,2020,11
1200609,3312976,12041,2020,12
1200609,23100,21,2021,1
1200708,3989400,5668,2020,4
1200708,4425600,6246,2020,5
1200708,3301200,4614,2020,6
1200708,4522800,6466,2020,7
1200708,4128000,5873,2020,8
1200708,2892543,6341,2020,9
1200708,1994722,5942,2020,10
1200708,2486652,6136,2020,11
1200708,2288005,6029,2020,12
1200708,16500,14,2021,1
1300029,3737400,5347,2020,4
1300029,3885000,5525,2020,5
1300029,3240000,4585,2020,6
1300029,4023600,5738,2020,7
1300029,3768000,5363,2020,8
1300029,1932610,5171,2020,9
1300029,1346308,4881,2020,10
1300029,1683679,5029,2020,11
1300029,1566305,5000,2020,12
1300029,0,0,2021,1
1300060,2419200,3626,2020,4
1300060,2496600,3710,2020,5
1300060,2026800,3007,2020,6
1300060,2546400,3790,2020,7
1300060,2374800,3538,2020,8
1300060,1289005,3521,2020,9
1300060,904916,3336,2020,10
1300060,1089970,3410,2020,11
1300060,1067011,3400,2020,12
1300060,4800,5,2021,1
1300086,2739000,4127,2020,4
1300086,2887800,4321,2020,5
1300086,2476200,3697,2020,6
1300086,2907000,4369,2020,7
1300086,2757600,4144,2020,8
1300086,1243912,3792,2020,9
1300086,865341,3599,2020,10
1300086,1040408,3638,2020,11
1300086,977153,3536,2020,12
1300086,4800,6,2021,1
1300102,3913800,5510,2020,4
1300102,4074600,5724,2020,5
1300102,3526800,4896,2020,6
1300102,4171200,5866,2020,7
1300102,3913200,5498,2020,8
1300102,1756719,5148,2020,9
1300102,1270170,4934,2020,10
1300102,1526819,5027,2020,11
1300102,1402493,4843,2020,12
1300102,4800,5,2021,1
1300144,3159600,4702,2020,4
1300144,3517200,5164,2020,5
1300144,2605800,3843,2020,6
1300144,3693600,5486,2020,7
1300144,3377400,5035,2020,8
1300144,2508919,5404,2020,9
1300144,1724840,5034,2020,10
1300144,2181321,5207,2020,11
1300144,1972786,5147,2020,12
1300144,10800,11,2021,1
1300201,2872800,3884,2020,4
1300201,2920800,3927,2020,5
1300201,2636400,3510,2020,6
1300201,3282600,4383,2020,7
1300201,3102600,4151,2020,8
1300201,1284516,3292,2020,9
1300201,873598,3002,2020,10
1300201,1060308,3083,2020,11
1300201,889549,2993,2020,12
1300201,12300,8,2021,1
1300300,11538600,16056,2020,4
1300300,12084000,16792,2020,5
1300300,10063200,13808,2020,6
1300300,12502800,17449,2020,7
1300300,11736600,16344,2020,8
1300300,5961338,15783,2020,9
1300300,4165383,15011,2020,10
1300300,5146816,15323,2020,11
1300300,4754872,14799,2020,12
1300300,37200,22,2021,1
1300409,4185000,5902,2020,4
1300409,4215000,5890,2020,5
1300409,3493200,4861,2020,6
1300409,4558200,6417,2020,7
1300409,4366800,5977,2020,8
1300409,2633163,6074,2020,9
1300409,1766022,5551,2020,10
1300409,2181695,5727,2020,11
1300409,2004285,5677,2020,12
1300409,7500,4,2021,1
1300508,8301600,12081,2020,4
1300508,8621400,12510,2020,5
1300508,7124400,10274,2020,6
1300508,8794200,12798,2020,7
1300508,8312400,12080,2020,8
1300508,3698816,10520,2020,9
1300508,2565073,9960,2020,10
1300508,3165889,10193,2020,11
1300508,2982298,10056,2020,12
1300508,5700,6,2021,1
1300607,8340000,11754,2020,4
1300607,8548200,11979,2020,5
1300607,7272600,10117,2020,6
1300607,8862600,12472,2020,7
1300607,8430000,11723,2020,8
1300607,4022933,10627,2020,9
1300607,2772842,10029,2020,10
1300607,3476455,10351,2020,11
1300607,3157781,10097,2020,12
1300607,20700,18,2021,1
1300631,5907600,8295,2020,4
1300631,6142200,8603,2020,5
1300631,5482800,7639,2020,6
1300631,6475800,9049,2020,7
1300631,6180000,8662,2020,8
1300631,2511265,7562,2020,9
1300631,1906751,7266,2020,10
1300631,2247689,7394,2020,11
1300631,1996139,7233,2020,12
1300631,1200,2,2021,1
1300680,4236000,6039,2020,4
1300680,4443000,6303,2020,5
1300680,3407400,4744,2020,6
1300680,4532400,6453,2020,7
1300680,4155000,5904,2020,8
1300680,2214515,5508,2020,9
1300680,1461480,5188,2020,10
1300680,1846734,5363,2020,11
1300680,1759948,5319,2020,12
1300680,6300,7,2021,1
1300706,8276400,11133,2020,4
1300706,8970600,12010,2020,5
1300706,7029000,9196,2020,6
1300706,9127800,12403,2020,7
1300706,8597400,11591,2020,8
1300706,5316098,11835,2020,9
1300706,3702971,11189,2020,10
1300706,4570866,11578,2020,11
1300706,4167733,11209,2020,12
1300706,16500,15,2021,1
1300805,8024400,11283,2020,4
1300805,8450400,11832,2020,5
1300805,7164000,9932,2020,6
1300805,8649000,12176,2020,7
1300805,8172000,11478,2020,8
1300805,3739909,10318,2020,9
1300805,2695024,9781,2020,10
1300805,3259644,9963,2020,11
1300805,3002038,9726,2020,12
1300805,4800,6,2021,1
1300839,2907600,4230,2020,4
1300839,3042600,4406,2020,5
1300839,2527800,3635,2020,6
1300839,3112200,4529,2020,7
1300839,2933400,4260,2020,8
1300839,1511568,4103,2020,9
